accountId,adgroupId,campaignId,keywordId,day,clicks,impressions,,,,
1,2,1,1,9/24/2018,0,9,,,,
1,2,1,2,9/24/2018,0,13,,,,
1,2,1,5,9/24/2018,0,19,,,,
1,2,1,9,9/24/2018,0,2,,,,
1,2,1,13,9/24/2018,0,17,,,,
1,2,1,17,9/24/2018,0,14,,,,
1,2,1,22,9/24/2018,0,10,,,,
1,3,1,1,9/24/2018,0,17,,,,
1,3,1,8,9/24/2018,0,18,,,,
1,3,1,11,9/24/2018,0,0,,,,
1,3,1,14,9/24/2018,0,4,,,,
1,3,1,16,9/24/2018,0,6,,,,
1,3,1,17,9/24/2018,0,14,,,,
1,3,1,18,9/24/2018,0,3,,,,
1,3,1,23,9/24/2018,0,11,,,,
1,3,1,24,9/24/2018,0,0,,,,
1,3,1,25,9/24/2018,0,12,,,,
1,4,1,2,9/24/2018,0,6,,,,
1,4,1,8,9/24/2018,0,10,,,,
1,5,1,1,9/24/2018,0,16,,,,
1,5,1,2,9/24/2018,0,16,,,,
1,5,1,5,9/24/2018,0,3,,,,
1,5,1,6,9/24/2018,0,8,,,,
1,5,1,7,9/24/2018,0,4,,,,
1,5,1,14,9/24/2018,0,9,,,,
1,6,2,2,9/24/2018,0,14,,,,
1,6,2,3,9/24/2018,0,12,,,,
1,6,2,4,9/24/2018,0,3,,,,
1,6,2,10,9/24/2018,0,0,,,,
1,6,2,11,9/24/2018,0,9,,,,
1,6,2,12,9/24/2018,0,5,,,,
1,6,2,17,9/24/2018,0,10,,,,
1,7,2,2,9/24/2018,0,17,,,,
1,7,2,3,9/24/2018,0,6,,,,
1,8,2,1,9/24/2018,0,11,,,,
1,8,2,3,9/24/2018,0,16,,,,
1,8,2,6,9/24/2018,0,4,,,,
2,9,3,9,9/24/2018,0,9,,,,
2,9,3,10,9/24/2018,0,18,,,,
2,9,3,12,9/24/2018,0,16,,,,
2,9,3,16,9/24/2018,0,8,,,,
2,9,3,25,9/24/2018,0,0,,,,
2,10,3,3,9/24/2018,0,18,,,,
2,10,3,4,9/24/2018,0,18,,,,
2,10,3,5,9/24/2018,0,16,,,,
2,10,3,6,9/24/2018,0,19,,,,
2,12,4,4,9/24/2018,0,17,,,,
2,12,4,9,9/24/2018,0,14,,,,
2,12,4,11,9/24/2018,0,4,,,,
2,12,4,14,9/24/2018,0,16,,,,
2,12,4,19,9/24/2018,0,12,,,,
2,13,4,2,9/24/2018,0,16,,,,
2,13,4,5,9/24/2018,0,1,,,,
2,13,4,13,9/24/2018,0,0,,,,
2,13,4,14,9/24/2018,0,3,,,,
2,14,4,1,9/24/2018,0,7,,,,
2,14,4,10,9/24/2018,0,3,,,,
2,14,4,14,9/24/2018,0,7,,,,
2,14,4,17,9/24/2018,0,10,,,,
