,accountId,adgroupId,campaignId,keywordId,day,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,clicks,impressions
0,1,2,1,1,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,9
1,1,2,1,2,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,13
2,1,2,1,5,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,19
3,1,2,1,9,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,2
4,1,2,1,13,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,17
5,1,2,1,17,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,14
6,1,2,1,22,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,10
7,1,3,1,1,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,17
8,1,3,1,8,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,18
9,1,3,1,11,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,0
10,1,3,1,14,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,4
11,1,3,1,16,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,6
12,1,3,1,17,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,14
13,1,3,1,18,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,3
14,1,3,1,23,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,11
15,1,3,1,24,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,0
16,1,3,1,25,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,12
17,1,4,1,2,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,6
18,1,4,1,8,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,10
19,1,5,1,1,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,16
20,1,5,1,2,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,16
21,1,5,1,5,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,3
22,1,5,1,6,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,8
23,1,5,1,7,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,4
24,1,5,1,14,9/24/2018,45.4,44.8,45.1,39.9,0,0,0,9.3,13.4,0,52.64,Clear,0,9
